Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
CT1002,Connecticut,CT,1995,4.23,3.23,476,0.585629165,40243,3265293,0.541,0.459,0.210327996,Connecticut_1995,-0.432083348,0.473587717,4.283333333,4.23,3.066666667,3.046666667
CT1004,Connecticut,CT,1994,4.38,4.48,1319,0.581701159,41097,3268346,0.541,0.459,0.209877157,Connecticut_1994,-0.174565612,0.25648198,4.29,3.946666667,3.6,3.17
CT1006,Connecticut,CT,1999,3.25,2.62,825,0.570281804,50593,3282031,0.604,0.396,0.201243007,Connecticut_1999,-0.735252815,0.153651657,3.066666667,3.046666667,2.956666667,1.99
CT1013,Connecticut,CT,2012,2.93,3.41,1047,0.607859373,64247,3595211,0.591,0.409,0.190410676,Connecticut_2012,-0.851575457,0.216323077,2.75,2.726666667,2.766666667,2
CT1015,Connecticut,CT,1993,4.47,4.53,243,0.569976151,39516,3272325,0.541,0.459,0.208477715,Connecticut_1993,-0.202645063,0.252539217,4.2,3.655,4.05,3.81
CT1019,Connecticut,CT,1994,4.38,4.48,316,0.582328856,41097,3268346,0.541,0.459,0.209877157,Connecticut_1994,-0.174565612,0.25648198,4.29,3.946666667,3.6,3.17
CT1021,Connecticut,CT,2013,2.46,1.9,140,0.535602272,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1024,Connecticut,CT,1995,4.23,3.23,342,0.577211499,40243,3265293,0.541,0.459,0.210327996,Connecticut_1995,-0.432083348,0.473587717,4.283333333,4.23,3.066666667,3.046666667
CT1025,Connecticut,CT,2014,3.12,1.67,345,0.593424499,70161,3595697,0.591,0.409,0.178247315,Connecticut_2014,-0.804620344,0.204234396,2.746666667,2.736666667,2.746666667,2.096666667
CT1029,Connecticut,CT,1994,4.38,4.48,532,0.572029233,41097,3268346,0.541,0.459,0.209877157,Connecticut_1994,-0.174565612,0.25648198,4.29,3.946666667,3.6,3.17
CT1034,Connecticut,CT,2013,2.46,1.9,557,0.581836104,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1035,Connecticut,CT,2014,3.12,1.67,557,0.581836104,70161,3595697,0.591,0.409,0.178247315,Connecticut_2014,-0.804620344,0.204234396,2.746666667,2.736666667,2.746666667,2.096666667
CT1039,Connecticut,CT,1993,4.47,4.53,243,0.569976151,39516,3272325,0.541,0.459,0.208477715,Connecticut_1993,-0.202645063,0.252539217,4.2,3.655,4.05,3.81
CT1040,Connecticut,CT,1995,4.23,3.23,476,0.585629165,40243,3265293,0.541,0.459,0.210327996,Connecticut_1995,-0.432083348,0.473587717,4.283333333,4.23,3.066666667,3.046666667
CT1042,Connecticut,CT,1999,3.25,2.62,2016,0.504493356,50593,3282031,0.604,0.396,0.201243007,Connecticut_1999,-0.735252815,0.153651657,3.066666667,3.046666667,2.956666667,1.99
CT1043,Connecticut,CT,2013,2.46,1.9,538,0.604983211,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1044,Connecticut,CT,2013,2.46,1.9,407,0.597195506,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1045,Connecticut,CT,2013,2.46,1.9,74,0.592823386,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1046,Connecticut,CT,2016,2.73,1.64,1086,0.589836597,75923,3579830,0.57,0.43,0.188096983,Connecticut_2016,-0.843627833,0.258995939,2.766666667,2,2.93,1.945
CT1048,Connecticut,CT,1994,4.38,4.48,636,0.582962453,41097,3268346,0.541,0.459,0.209877157,Connecticut_1994,-0.174565612,0.25648198,4.29,3.946666667,3.6,3.17
CT1049,Connecticut,CT,1998,2.63,2.86,594,0.57590121,46508,3272563,0.604,0.396,0.203158816,Connecticut_1998,-0.891303949,0.237468203,3.6,3.17,3.253333333,2.263333333
CT1053,Connecticut,CT,2000,3.23,1.93,825,0.570281804,50172,3411777,0.593,0.407,0.199880601,Connecticut_2000,-0.866331375,0.226119667,2.97,2.68,2.686666667,1.92
CT1055,Connecticut,CT,1994,4.38,4.48,1133,0.547288954,41097,3268346,0.541,0.459,0.209877157,Connecticut_1994,-0.174565612,0.25648198,4.29,3.946666667,3.6,3.17
CT1056,Connecticut,CT,1998,2.63,2.86,755,0.561921239,46508,3272563,0.604,0.396,0.203158816,Connecticut_1998,-0.891303949,0.237468203,3.6,3.17,3.253333333,2.263333333
CT1062,Connecticut,CT,2013,2.46,1.9,937,0.550617814,69291,3595792,0.591,0.409,0.184855438,Connecticut_2013,-0.837602909,0.244112606,2.9,3.073333333,2.856666667,1.913333333
CT1064,Connecticut,CT,1999,3.25,2.62,909,0.564316511,50593,3282031,0.604,0.396,0.201243007,Connecticut_1999,-0.735252815,0.153651657,3.066666667,3.046666667,2.956666667,1.99
